threshold,miss_rate,fpr
0.681,0.182890,0.047458
0.682,0.182890,0.047378
0.683,0.182890,0.047378
0.684,0.182890,0.047299
0.685,0.183105,0.047299
0.686,0.183105,0.047219
0.687,0.183105,0.047139
0.688,0.183105,0.047060
0.689,0.183105,0.047020
0.690,0.183105,0.046940
0.691,0.183105,0.046861
0.692,0.183319,0.046821
0.693,0.183319,0.046741
0.694,0.183319,0.046701
0.695,0.183319,0.046582
0.696,0.183319,0.046502
0.697,0.183319,0.046463
0.698,0.183319,0.046423
0.699,0.183319,0.046423
0.700,0.183319,0.046423
0.701,0.183319,0.046423
0.702,0.183319,0.046303
0.703,0.183319,0.046263
0.704,0.183319,0.046263
0.705,0.183319,0.046263
0.706,0.183319,0.046224
0.707,0.183533,0.046104
0.708,0.183748,0.046025
0.709,0.183748,0.045905
0.710,0.183748,0.045865
0.711,0.183748,0.045826
0.712,0.183748,0.045786
0.713,0.183748,0.045706
0.714,0.183748,0.045587
0.715,0.183748,0.045467
0.716,0.183748,0.045388
0.717,0.183748,0.045348
0.718,0.183962,0.045228
0.719,0.183962,0.045149
0.720,0.183962,0.045109
0.721,0.184177,0.045069
0.722,0.184391,0.045029
0.723,0.184391,0.044989
0.724,0.184605,0.044830
0.725,0.184605,0.044790
0.726,0.184605,0.044631
0.727,0.184605,0.044551
0.728,0.184820,0.044512
0.729,0.184820,0.044432
0.730,0.184820,0.044313
0.731,0.184820,0.044233
0.732,0.184820,0.044114
0.733,0.184820,0.044034
0.734,0.184820,0.043994
0.735,0.185034,0.043954
0.736,0.185034,0.043914
0.737,0.185034,0.043914
0.738,0.185249,0.043875
0.739,0.185249,0.043835
0.740,0.185463,0.043835
0.741,0.185463,0.043795
0.742,0.185678,0.043676
0.743,0.185678,0.043596
0.744,0.185892,0.043516
0.745,0.186321,0.043477
0.746,0.186321,0.043437
0.747,0.186321,0.043238
0.748,0.186321,0.043198
0.749,0.186321,0.043078
0.750,0.186321,0.043039
0.751,0.186535,0.042999
0.752,0.186750,0.042919
0.753,0.186750,0.042840
0.754,0.186750,0.042800
0.755,0.186750,0.042720
0.756,0.186750,0.042680
0.757,0.186964,0.042640
0.758,0.187607,0.042481
0.759,0.187607,0.042481
0.760,0.187822,0.042481
0.761,0.188036,0.042481
0.762,0.188250,0.042402
0.763,0.188465,0.042282
0.764,0.188465,0.042242
0.765,0.188679,0.042242
0.766,0.189108,0.042123
0.767,0.189108,0.042083
0.768,0.189751,0.042003
0.769,0.189751,0.041884
0.770,0.189751,0.041804
0.771,0.190180,0.041725
0.772,0.190395,0.041645
0.773,0.190609,0.041605
0.774,0.190609,0.041605
0.775,0.190609,0.041605
0.776,0.190609,0.041565
0.777,0.190609,0.041406
0.778,0.190823,0.041406
0.779,0.191252,0.041406
0.780,0.191467,0.041406
0.781,0.191681,0.041287
0.782,0.191681,0.041247
0.783,0.191681,0.041048
0.784,0.191895,0.041008
0.785,0.197684,0.040968
0.786,0.197684,0.040928
0.787,0.197684,0.040889
0.788,0.197684,0.040809
0.789,0.197684,0.040650
0.790,0.197684,0.040570
0.791,0.198113,0.040530
0.792,0.198328,0.040530
0.793,0.198971,0.040451
0.794,0.199185,0.040411
0.795,0.199185,0.040371
0.796,0.199400,0.040331
0.797,0.199400,0.040252
0.798,0.199400,0.040252
0.799,0.199400,0.040212
0.800,0.199828,0.040212
0.801,0.199828,0.040132
0.802,0.199828,0.040132
0.803,0.200043,0.040092
0.804,0.200472,0.040092
0.805,0.200472,0.040013
0.806,0.200686,0.040013
0.807,0.201115,0.039893
0.808,0.201115,0.039774
0.809,0.201758,0.039734
0.810,0.201758,0.039694
0.811,0.201758,0.039535
0.812,0.201973,0.039535
0.813,0.202401,0.039495
0.814,0.203259,0.039455
0.815,0.203259,0.039336
0.816,0.203473,0.039296
0.817,0.203688,0.039137
0.818,0.203688,0.039097
0.819,0.203902,0.039057
0.820,0.203902,0.038898
0.821,0.203902,0.038739
0.822,0.204331,0.038659
0.823,0.205189,0.038579
0.824,0.205617,0.038540
0.825,0.206046,0.038380
0.826,0.206261,0.038341
0.827,0.206261,0.038221
0.828,0.206475,0.038141
0.829,0.206904,0.038062
0.830,0.207118,0.037942
0.831,0.207333,0.037783
0.832,0.207547,0.037704
0.833,0.207762,0.037584
0.834,0.207976,0.037544
0.835,0.207976,0.037465
0.836,0.208405,0.037385
0.837,0.208405,0.037345
0.838,0.208405,0.037305
0.839,0.208619,0.037226
0.840,0.208834,0.037146
0.841,0.209048,0.037027
0.842,0.209262,0.037027
0.843,0.209691,0.037027
0.844,0.209691,0.036828
0.845,0.209691,0.036828
0.846,0.209691,0.036748
0.847,0.210334,0.036708
0.848,0.210549,0.036629
0.849,0.210763,0.036430
0.850,0.210978,0.036350
0.851,0.211407,0.036310
0.852,0.211621,0.036310
0.853,0.211621,0.036270
